,title,OP,desc,date,url
56,Inside a Biden White House adrift - CNBC,2,"Amid a rolling series of calamities and sinking approval ratings, the president’s feeling lately is that he just can’t catch a break — and that angst is rippling through his party.",2022-05-31T12:02:07Z,https://www.cnbc.com/2022/05/31/inside-a-biden-white-house-adrift.html
17,"How Celtics grew into NBA's most resilient team, going from 'lowest moment' in January to Finals in June - CBS Sports",0,"The Celtics are 6-0 following a loss in the playoffs, and are 3-0 in elimination games",2022-05-31T13:43:00Z,https://www.cbssports.com/nba/news/how-celtics-grew-into-nbas-most-resilient-team-going-from-lowest-moment-in-january-to-finals-in-june/
18,New digital tool provides effective support for the treatment of pediatric obesity - News-Medical.Net,0,A mobile app that shows a child's weight development in real-time for children with obesity provides greater weight loss compared to conventional care.,2022-05-31T13:36:00Z,https://www.news-medical.net/news/20220531/New-digital-tool-provides-effective-support-for-the-treatment-of-pediatric-obesity.aspx
54,EU leaders say gas unlikely to be part of new round of Russia sanctions - The Guardian,0,Estonian PM says gas sanctions would be more difficult because it would affect whole of Europe,2022-05-31T12:04:00Z,https://amp.theguardian.com/world/2022/may/31/eu-leaders-say-gas-unlikely-to-be-part-of-new-round-of-russia-sanctions
39,12試合15ゴールのベンゼマがCL最優秀選手に選出 - Goal.com,2,"Get the latest soccer news, rumors, video highlights, scores, schedules, standings, photos, player information and more from Sporting News Canada",2022-05-31T12:38:30Z,https://www.sportingnews.com/ca/soccer
70,Garda investigation launched after 'alleged incident of assault' in Laois minor club game - Independent.ie,0,A Garda investigation has been launched in Laois after an &ldquo;alleged incident of assault&rdquo; at a minor club football game last night.,2022-05-31T11:28:00Z,https://www.independent.ie/sport/gaelic-games/garda-investigation-launched-after-alleged-incident-of-assault-in-laois-minor-club-game-41705980.html
83,"Troost-Ekong speaks on Super Eagles’ loss to Mexico, hails NPFL players - Daily Post Nigeria",0,"Super Eagles defender William Troost-Ekong has offered explanations for the team's 2-1 defeat to Mexico in Sunday's friendly encounter at the AT&T Stadium in Texas, United Sates. Jose Peseiro's side had little time to prepare for the game due to long travels …",2022-05-31T11:00:37Z,https://dailypost.ng/2022/05/31/troost-ekong-speaks-on-super-eagles-loss-to-mexico-hails-npfl-players/
26,Watch NASA's Mars helicopter complete a record-setting flight - Engadget,0,NASA's Mars helicopter has shared video of its record 25th flight..,2022-05-31T13:15:57Z,https://www.engadget.com/nasa-mars-helicopter-ingenuity-flight-video-131524301.html
16,First Impressions And Hands-On: Fujifilm X-H2S - Geek Culture,2,"The Fujifilm X-H2S is on the road to reign supreme as king of APS-C cameras, carrying a slate of handy features in tow.",2022-05-31T13:44:29Z,https://geekculture.co/first-impressions-fujifilm-x-h2s-king-of-aps-c-cameras/
6,"New artificial enzyme breaks down tough, woody lignin: Study shows promise for developing a new renewable energy source - Science Daily",0,"An innovative artificial enzyme has shown it can chew through woody lignin, an abundant carbon-based substance that stores tremendous potential for renewable energy and materials.",2022-05-31T14:05:40Z,https://www.sciencedaily.com/releases/2022/05/220531091530.htm
68,"Luxury car convoy crash: Businesswoman, bodyguard fined RM2,000 - The Star Online",0,"KULAI: A businesswoman and a bodyguard were each fined RM2,000 by the Magistrate's Court here on Tuesday (May 31) with regard to a crash and subsequent altercation along the North-South Highway, last March.",2022-05-31T11:29:00Z,https://www.thestar.com.my/news/nation/2022/05/31/luxury-car-convoy-crash-businesswoman-bodyguard-fined-rm2000
3,Strategic Donbas city split down the middle as fighting rages; EU to cut most Russian oil imports - CNBC,0,The European Union has agreed on a plan to block more than two-thirds of Russian oil imports as part of new punitive measures against the Kremlin.,2022-05-31T14:16:00Z,https://www.cnbc.com/2022/05/31/russia-ukraine-live-updates.html
78,La Salle sweeps feisty UP for 2nd; Adamson ousts FEU from Final Four race - Rappler,0,"La Salle rallies from 6 points down in the third set to shut down UP's comeback attempt, while Adamson kicks FEU out of playoff contention for the first time since 2014",2022-05-31T11:04:02Z,https://www.rappler.com/sports/uaap/game-results-volleyball-women-dlsu-lady-spikers-adamson-lady-falcons-may-31-2022/
74,German police raid DWS and Deutsche Bank over greenwashing allegations - Financial Times,2,"News, analysis and comment from the Financial Times, the worldʼs leading global business publication",2022-05-31T11:06:12Z,https://www.ft.com/content/ff27167d-5339-47b8-a261-6f25e1534942
89,Video shows Mona Lisa smeared with cake after bizarre protest - 1News,2,"The young man shouted at those in the Louvre to ""Think of the Earth!""",2022-05-31T10:40:57Z,https://www.1news.co.nz/2022/05/31/video-shows-mona-lisa-smeared-with-cake-after-bizarre-protest/
57,"vivo Y55+ To Officially Land In Malaysia; Costs RM1,099 - Lowyat.NET",0,vivo is officially bringing the vivo Y55+ 5G into Malaysia as part of Yes' Infinite Plus offering. It will be,2022-05-31T12:01:25Z,https://www.lowyat.net/2022/275016/vivo-y55-malaysia-rm1099/
29,Treasury extends general fuel levy cut - News24,0,"Treasury has decided to grant an extension of the reduction in the general fuel levy, which will soften the fuel price hike on Wednesday.",2022-05-31T13:05:46Z,https://www.news24.com/fin24/economy/giant-fuel-price-hike-avoided-as-government-steps-in-20220531
76,Starlink to compete with operators in Nigeria and Mozambique - Capacity Media,0,"Regulators in Nigeria and Mozambique have approved the start of broadband satellite services via Starlink, part of Elon Musk’s SpaceX.",2022-05-31T11:05:31Z,https://www.capacitymedia.com/article/2a62ld42y9ad5uuotxq80/news/starlink-to-compete-with-operators-in-nigeria-and-mozambique
19,"Stay in cellars, civilians told as half of Sievierodonetsk falls to Russia - The Guardian",0,"Mayor says 13,000 people remain in Ukrainian city as Russian forces advance ‘block by block’",2022-05-31T13:35:00Z,https://amp.theguardian.com/world/2022/may/31/russian-forces-sievierodonetsk-ukraine-fighting-city
95,Huawei Watch 3 with eSIM gets discounted price of 1879 yuan - HC Newsroom,0,"Huawei Watch 3 is the first smartwatch that comes with HarmonyOS operating system. The Huawei Watch 3 is currently at a discounted price of 1879 yuan during the special JD sale in China. During the Jingdong 618 pre-sale, the pre-sale price is 1,999 yuan for H…",2022-05-31T10:29:01Z,https://www.huaweicentral.com/huawei-watch-3-with-esim-gets-discounted-price-of-1879-yuan/
53,Second case of monkeypox confirmed in Republic of Ireland - http://gcn.ie/,0,"After the confirmation of the first case, HSE said it is ""not unexpected"" that a second case of monkeypox was confirmed in Ireland.",2022-05-31T12:04:08Z,https://gcn.ie/second-case-monkeypox-ireland/
90,Honor 70 - Droidsans,2,The First Android Community in Thailand,2022-05-31T10:37:21Z,https://droidsans.com/tag/honor-70/
22,Dólar abre con una caída de 103 pesos tras resultados electorales - El Tiempo,2,Use the Rich Result Test to see what Google results can be generated for your pages and the schema markup validator for generic schema validation.,2022-05-31T13:29:17Z,https://developers.google.com/search/docs/advanced/structured-data
25,"In Rajya Sabha list, BJP sticks to OBC-Dalit winning formula - The Indian Express",2,"Mukhtar Abbas Naqvi, who was not renominated, may get a key post or will be fielded in UP LS by-poll, say party insiders.",2022-05-31T13:16:04Z,https://indianexpress.com/article/india/political-pulse/in-rajya-sabha-list-bjp-sticks-to-obc-dalit-winning-formula-7945833/
27,iQOO Neo 6 Unboxing & First Look: Fastest phone under Rs 30000? - The Financial Express,0,"iQOO’s first ""Neo"" series phone, the iQOO Neo 6, is here. The new phone boasts of a fast 120Hz AMOLED display, Qualcomm’s Snapdragon 870 chip, 64MP triple re...",2022-05-31T13:13:46Z,https://www.youtube.com/watch?v=OznNXqHjHdk
24,"APC Primary: Our flagbearer must elicit victory, confidence before presidential election – Buhari - Daily Post Nigeria",0,President Muhammadu Buhari has told governors and stakeholders of the ruling All Progressives Congress (APC) that the forthcoming primary election slated for June 6 to 8 must produce a candidate that would give the Nigerian masses a sense of victory and confi…,2022-05-31T13:18:54Z,https://dailypost.ng/2022/05/31/apc-primary-our-flagbearer-must-elicit-victory-confidence-before-presidential-election-buhari/
80,Diablo: Immortal Won't Launch in Belgium and the Netherlands Due to Lootbox Laws - IGN - IGN,0,Diablo: Immortal will no longer be released in Belgium or the Netherlands due to lootboxes being illegal in both countries.,2022-05-31T11:01:40Z,https://www.ign.com/articles/diablo-immortal-launch-belgium-netherlands-lootbox-law
49,"""As A Pakistani I am Saying"" Virat Kohli Is The ""Greatest Player Of All Time"": Shoaib Akhtar - NDTV Sports",0,Virat Kohli had hit a purple patch between 2015 to 2019 amassing centuries at will across formats and also guiding the team to greater heights.,2022-05-31T12:22:58Z,https://sports.ndtv.com/cricket/as-a-pakistani-i-am-saying-virat-kohli-is-the-greatest-player-of-all-time-shoaib-akhtar-3026026
69,Canada summer forecast: The Weather Network's predictions - CTV News,0,"Seasonal or higher than normal temperatures across much of the country will offer Canadians a chance to enjoy the summer, but predictions from a prominent national forecaster warn the humidity could welcome a rather stormy few months.",2022-05-31T11:28:00Z,https://www.ctvnews.ca/canada/hot-summer-temperatures-big-storms-to-sweep-much-of-canada-weather-network-predicts-1.5925518
99,Peter Andre reveals his car has been broken into following his latest Grease performance - Daily Mail,0,"Peter Andre's car was broken into on Monday night, with the singer revealing the culprit had 'got all the stuff' while he was on stage.",2022-05-31T10:26:24Z,https://www.dailymail.co.uk/tvshowbiz/article-10870813/Peter-Andre-reveals-car-broken-following-latest-Grease-performance.html
97,House adopts Senate bill doubling monthly pension of indigent seniors - GMA News Online,0,"The House of Representatives has adopted the Senate version of the measure doubling the monthly social pension of indigent senior citizens from P500 to P1,000.",2022-05-31T10:27:02Z,https://www.gmanetwork.com/news/money/economy/833457/house-adopts-senate-bill-doubling-monthly-pension-of-indigent-seniors/story/
10,COVID-19 Outbreak Declared at Pioneer Ridge - Plaza 1 - Thunder Bay District Health Unit,0,"Thunder Bay District Health Unit provides public health information for residents of the Thunder Bay District in Northwestern Ontario. We investigate reportable diseases, animal bites, and other public health complaints.",2022-05-31T13:59:21Z,http://www.tbdhu.com/
65,"Rajasthan Board Result 2022 date, time: RBSE Result for 12th Science, Commerce tomorrow on rajresults.nic.in - Times Now",0,"Rajasthan Board Result 2022 date and time for RBSE 12th Result 2022 announced. BSER Ajmer likely to release RBSE 12th Science and RBSE 12th Commerce results tomorrow - June 1, 2022. Check Rajasthan Board Result 2022 date and time here.",2022-05-31T11:42:42Z,https://www.timesnownews.com/education/rajasthan-board-result-2022-date-time-rbse-result-for-12th-science-commerce-likely-june-1-on-rajresults-nic-in-article-91917442
84,I banned my children from eating sugar – this is what happened next - The Telegraph,2,"80 per cent of youngsters eat three times the recommended limit each day, so one mother-of-four decided to put her kids on a new regime",2022-05-31T11:00:00Z,https://www.telegraph.co.uk/family/life/banned-children-eating-sugar-happened-next/
77,What is West Nile fever? Know about symptoms and prevention - NewsBytes,0,"A 47-year-old man from Thrissur, Kerala breathed her last on May 29 after suffering from the mosquito-borne disease called the West Nile fever",2022-05-31T11:04:27Z,https://www.newsbytesapp.com/news/lifestyle/what-is-west-nile-fever/story
52,"The Guardian's Special Focus on Most Dependable, Value-Driven Credit and Loan firm in Nigeria - Guardian Nigeria",2,"Nigeria is a highly business-oriented economy with an estimated 37 million micro, small and medium-sized companies (MSMEs). The entrepreneurial economy contributes roughly 48% of the country’s gross domestic product and employs over 60 million people, making …",2022-05-31T12:16:00Z,https://editor.guardian.ng/features/the-guardians-special-focus-on-most-dependable-value-driven-credit-and-loan-firm-in-nigeria/
28,Functional nonlinear optical nanoparticles synthesized by laser ablation - Phys.org,0,"Nonlinear optics is an important research direction with various applications in laser manufacturing, nanostructures' fabrication, sensor design, optoelectronics, biophotonics, and quantum optics, etc. Nonlinear optical materials are the fundamental building …",2022-05-31T13:09:06Z,https://phys.org/news/2022-05-functional-nonlinear-optical-nanoparticles-laser.html
81,African Ministers Seek Ways to Boost Polio Outbreak Response - AllAfrica - Top Africa News,0,"African health ministers have met to seek ways of ramping up measures to halt the outbreak of Wild Poliovirus Type 1 in southern Africa, where the virus has been detected in two countries and a large-scale multi-country vaccination campaign is underway.

 

…",2022-05-31T11:00:40Z,https://allafrica.com/view/group/main/main/id/00082326.html
85,"LIC made Rs 42k crore gains via share sale in FY22, remains contrarian equity investor - Moneycontrol",2,The insurance behemoth will focus exclusively on increasing the share of non-participatory products to drive growth and profitability in FY23.,2022-05-31T10:52:55Z,https://www.moneycontrol.com/news/business/earnings/lic-made-rs-42k-crore-gains-via-share-sale-in-fy22-remains-contrarian-equity-investor-8614181.html
92,"Politics latest news: Boris Johnson faces no confidence vote by end of June, warns Lord Hague - The Telegraph",0,"A vote of no confidence in Boris Johnson's leadership is likely to take place by the end of June, Lord Hague has predicted as he said the Prime Minister is in &quot;very serious trouble&quot;.",2022-05-31T10:34:22Z,https://www.telegraph.co.uk/politics/2022/05/31/boris-johnson-news-vote-no-confidence-partygate-immigration/
38,'She was going to be someone.' Families and friends remember the victims of the Uvalde school massacre as the first funerals are held - CNN,2,Ten-year-old Maite Rodriguez wanted to be a marine biologist before she could say the words.,2022-05-31T12:46:00Z,https://www.cnn.com/2022/05/31/us/uvalde-texas-elementary-school-shooting-tuesday/index.html
82,New theoretical model accounts for sun's rotation and magnetic field - Phys.org,2,"In the early 2000s, a new set of data revised the chemical abundances at the surface of the sun, contradicting the values predicted by the standard models used by astrophysicists. Often challenged, these new abundances made it through several new analyses. As…",2022-05-31T11:00:38Z,https://phys.org/news/2022-05-theoretical-accounts-sun-rotation-magnetic.html
50,"For Arrested Delhi Minister Satyendar Jain, A Setback In Court - NDTV",0,"Delhi Health Minister Satyendar Jain, arrested in an alleged money laundering case, has been sent to Enforcement Directorate custody till June 9.",2022-05-31T12:21:00Z,https://www.ndtv.com/india-news/delhi-minister-satyendar-jain-sent-to-enforcement-directorate-custody-till-june-9-3025522
2,Monkeypox: What are the symptoms and what should you do if you have any? - Belfast Telegraph,2,The Public Health Agency (PHA) has issued a reminder to those who believe they may have contracted monkeypox to phone them before attending a healthcare centre.,2022-05-31T14:21:00Z,https://www.belfasttelegraph.co.uk/news/health/monkeypox-what-are-the-symptoms-and-what-should-you-do-if-you-have-any-41706674.html
20,"2022 French Open men's quarterfinal props, picks: Uncanny tennis expert reveals selections for Tuesday's Djokovic vs. Nadal matchup - SportsLine.com - SportsLine",0,Two of the greatest men's tennis players of all-time -- Rafael Nadal and Novak Djokovic -- collide in a blockbuster quarterfinal match on Tuesday...,2022-05-31T13:31:00Z,https://www.sportsline.com/insiders/2022-french-open-mens-quarterfinal-props-picks-uncanny-tennis-expert-reveals-selections-for-tuesdays-djokovic-vs-nadal-matchup/
46,"India Q4 GDP data: India's GDP grows at 8.7% in FY22, Q4 GDP rises 4.1% - The Indian Express",0,"India Q4 2022 GDP Data Today, GDP Data: India’s GDP grew at 8.7 per cent in the financial year 2021-22, while the GDP for the January-March quarter (Q4 FY22) rose 4.1 per cent, data released by the National Statistical Office (NSO) showed.",2022-05-31T12:26:51Z,https://indianexpress.com/article/business/economy/india-q4-gdp-provisional-estimates-2021-22-fy22-gross-domestic-product-data-7945742/
40,Exclusive: Supreme Court leak investigation heats up as clerks are asked for phone records in unprecedented move - CNN,0,"Supreme Court officials are escalating their search for the source of the leaked draft opinion that would overturn Roe v. Wade, taking steps to require law clerks to provide cell phone records and sign affidavits, three sources with knowledge of the efforts h…",2022-05-31T12:37:00Z,https://www.cnn.com/2022/05/31/politics/supreme-court-roe-v-wade-leak-phone-records/index.html
87,First Call: Aaron Donald doesn't 'need to play football to be fine'; Jacob Trouba takes out another skater - TribLIVE,0,Pitt Panthers great Aaron Donald continues to leave his future up in the air. A pair of former Pirates exchange big blows at the plate in New York. Jacob Trouba is at it again for the New York Rangers. And a one-time Penguin has a new job with another former,2022-05-31T10:44:35Z,https://triblive.com/sports/first-call-aaron-donald-doesnt-need-to-play-football-to-be-fine-jacob-trouba-takes-out-another-skater/
