,title,OP,desc,date,url
5,Queen pictured at Aberdeen airport as she returns to London ahead of Platinum Jubilee celebrations - Sky News,2,,2022-05-31T14:08:15Z,https://news.sky.com/story/queen-pictured-at-aberdeen-airport-as-she-returns-to-london-ahead-of-platinum-jubilee-celebrations-12624808
21,"Okorocha yet to meet bail conditions, may miss presidential screening - Punch Newspapers",0,"Okorocha yet to meet bail conditions, may miss presidential screening",2022-05-31T13:30:52Z,https://punchng.com/okorocha-yet-to-meet-bail-conditions-may-miss-presidential-screening/
32,"Home prices surged over 20% in March as interest rates also rose, according to S&P Case-Shiller - CNBC",0,"Home prices continued to increase their gains, despite slower sales and higher mortgage rates.",2022-05-31T13:00:05Z,https://www.cnbc.com/2022/05/31/home-prices-surged-in-march-as-interest-rates-also-rose-sp-case-shiller.html
43,Day 10 Live: Smiling Trevisan battles into semis - Roland-Garros - The 2022 Roland-Garros Tournament official site - Roland-Garros,2,Follow along as singles quarter-final action begins at Roland-Garros 2022,2022-05-31T12:33:39Z,https://www.rolandgarros.com/en-us/article/rg2022-day-10-live-fernandez-gauff-alcaraz-nadal-djokovic
72,Tanks to receive an 18 percent buff to threat in WoW Patch 9.2.5 - Dot Esports,0,Losing threat on enemies? The Blizzard devs are working on it.,2022-05-31T11:07:33Z,https://dotesports.com/wow/news/tanks-18-percent-buff-to-threat-wow-patch-9-2-5/
1,High Performance Reported for Polyoxometalate Li-S Batteries - AZoNano,2,New research discusses the development of modified Keggin and Dawson type Polyoxometalates (POMs) to improve the performance of  Li-S batteries.,2022-05-31T14:21:00Z,https://www.azonano.com/news.aspx?newsID=39208
67,Man United suffer summer rebuild blow with Barcelona midfielder Frenkie De Jong wanting to stay - Daily Mail,0,The Holland international midfielder starred under  ten Hag at Ajax between 2016 and 2019 and is said to be available for around £65million if Barca can replace the 25-year-old with a major name.,2022-05-31T11:41:59Z,https://www.dailymail.co.uk/sport/football/article-10871045/Man-United-suffer-summer-rebuild-blow-Barcelona-midfielder-Frenkie-Jong-wanting-stay.html
61,Sydney warned after sixth Legionella case - Camden Haven Courier,2,People who have been in central Sydney are being warned to watch out for symptoms of legionnaires' disease...,2022-05-31T11:56:02Z,https://www.camdencourier.com.au/story/7761246/sydney-warned-after-sixth-legionella-case/
64,"Fever That Can Bleed You To Death Sweeps This Country; Mortality Rate High, No Vaccines Yet | Mint - Mint",0,"Nosebleed fever virus (CCHF) is transmitted to people either by tick bites or through contact with infected animals. .Its symptoms include headache, high fever, back pain, joint pain etc",2022-05-31T11:45:08Z,https://www.livemint.com/news/world/fever-that-can-bleed-you-to-death-sweeps-this-country-mortality-rate-high-no-vaccines-yet-11653986755148.html
44,"TCL launches 98-inch beast for R99,999 - MyBroadband",0,"TCL has launched its 98-inch 4K TV, priced at R99,999, in South Africa.",2022-05-31T12:30:45Z,https://mybroadband.co.za/news/gadgets/446662-tcl-launches-98-inch-beast-for-r99999.html
47,Two pupils suspended after allegedly attacking referee at school rugby match - News24,0,"The two Hoërskool Daniëlskuil pupils, along with their parents, allegedly attacked a teacher acting as referee during the game at the Northern Cape school.",2022-05-31T12:25:54Z,https://www.news24.com/news24/southafrica/news/two-pupils-suspended-after-allegedly-attacking-referee-at-school-rugby-match-20220531
93,Tremors felt after 3-magnitude earthquake in south-east Queensland - 9News,0,<p>Over 500 people have reported feeling the earthquake in Queensland&#x27;s Moreton Bay region this afternoon.</p>,2022-05-31T10:32:37Z,https://www.9news.com.au/national/magnitude-3-earthquake-felt-in-southeast-queensland/dd618986-2248-471e-ba20-9a4047e79922
42,India vs South Korea Live Score Asia Cup Hockey: IND 3-3 KOR in third quarter - Hindustan Times,0,"India vs South Korea Live Score Asia Cup Hockey 2022: In the previous encounter, India bounced back from behind and eked out a 3-3 draw against Malaysia.",2022-05-31T12:34:13Z,https://www.hindustantimes.com/sports/hockey/india-vs-south-korea-live-score-asia-cup-hockey-2022-super-4-match-today-101653992808228.html
94,"Peter Navarro, Former Trump Aide, Gets Grand Jury Subpoena in Jan. 6 Inquiry - The New York Times",0,"The subpoena, the latest indication of an expanding inquiry by federal prosecutors, seeks Mr. Navarro’s testimony and any records he has related to the attack on the Capitol last year.",2022-05-31T10:30:00Z,https://www.nytimes.com/2022/05/30/us/politics/peter-navarro-jan-6-subpoena.html
88,"Tom Cruise didn't want to make 'Top Gun' sequel, had to be convinced - New York Post ",0,"“When I got there, I found that Tom really didn’t want to make another ‘Top Gun,'” director Joseph Kosinski revealed.",2022-05-31T10:43:00Z,https://nypost.com/2022/05/31/tom-cruise-didnt-want-to-make-top-gun-sequel/
12,"Music from ‘Abba party’ could be heard all over No 10, says Cummings - The Guardian",2,Boris Johnson’s former chief adviser accuses Sue Gray of not properly investigating gathering in the flat,2022-05-31T13:48:00Z,https://amp.theguardian.com/politics/2022/may/31/music-from-abba-party-could-be-heard-all-over-no-10-says-cummings
11,Kevin Spacey says he will 'voluntarily' appear in the UK to defend himself against sex assault charges - Sky News,2,,2022-05-31T13:52:30Z,https://news.sky.com/story/kevin-spacey-says-he-will-voluntarily-appear-in-the-uk-to-defend-himself-against-sex-assault-charges-12624732
14,"2022 NBA Finals: Three reasons why Celtics can beat Warriors, including Boston hunting Stephen Curry - CBS Sports",0,The Celtics will also look to exploit a size advantage with certain lineups,2022-05-31T13:45:00Z,https://www.cbssports.com/nba/news/2022-nba-finals-three-reasons-why-celtics-can-beat-warriors-including-boston-hunting-stephen-curry/
91,"No Tobacco Day: WHO advocates levies, says crop threat to environment - Punch Newspapers",0,"The World Health Organisation has called on African Governments to impose environmental tax levies on tobacco across the value and supply chains, including production, processing, distribution, sales, consumption, and waste management.",2022-05-31T10:36:54Z,https://punchng.com/no-tobacco-day-who-advocates-levies-says-crop-threat-to-environment/
55,Here's what people are saying about the meteor shower - Toronto Star,0,"Earth was set to pass through a cluster of debris from the SW3 comet just after 1 a.m., according to experts.",2022-05-31T12:02:49Z,https://www.thestar.com/news/gta/2022/05/31/a-meteor-shower-was-visible-from-ontario-last-night-heres-what-people-are-saying.html
71,"Canada's Trudeau announces bill to cap sales, transfers and imports of all handguns in the country - CNN",0,"Canadian Prime Minister Justin Trudeau on Monday announced the introduction of a bill that would place a national freeze on handgun ownership across Canada. The move would mean that Canadians will no longer be able to buy, sell, transfer or import handguns ""a…",2022-05-31T11:13:00Z,https://www.cnn.com/2022/05/30/americas/canada-handgun-sales-cap/index.html
35,Big Brother: Bruna Gomes faz apelo e fãs não têm dúvidas: “Justa vencedora…” - Hiper Fm,0,Bruna Gomes merece vencer o Big Brother - Desafio Final?,2022-05-31T12:52:48Z,https://www.hiper.fm/big-brother-bruna-gomes-faz-apelo-e-fas-nao-tem-duvidas-justa-vencedora/
62,Kevin Spacey To “Voluntarily” Appear In UK Court To Face Four Sexual Assault Charges - Deadline,0,"Kevin Spacey will “voluntarily” appear in a UK court on four counts of sexual assault, following questions over whether he would need to be extradited from the U.S. In the past hour, the American Beauty star has given a statement to Good Morning America in wh…",2022-05-31T11:51:00Z,https://deadline.com/2022/05/kevin-spacey-to-voluntarily-appear-in-uk-court-to-face-four-sexual-assault-charges-1235035711/
23,"What Tambuwal told Ayu, Saraki, Bala Mohammed before stepping down for Atiku - Premium Times",2,"Atiku, with the last-minute support for his candidature by Mr Tambuwal , Atiku overwhelmed Rivers State Governor, Nyesom Wike....",2022-05-31T13:22:20Z,https://www.premiumtimesng.com/news/headlines/533831-what-tambuwal-told-ayu-saraki-bala-mohammed-before-stepping-down-for-atiku.html
30,eFootball 2022 Update 1.2.0: Everything We Know So Far - GIVEMESPORT,0,eFootball 2022 will be releasing patch 1.2.0 in the near future and we have all the latest information around this upcoming update.,2022-05-31T13:03:51Z,https://www.givemesport.com/88015650-efootball-2022-update-1-2-0-everything-we-know-so-far
66,Punjabi singer Mankirt Aulakh demands security cover after Sidhu Moose Wala's murder - India Today,0,Punjabi singer Mankirt Aulakh has demanded security cover following the murder of singer Sidhu Moose Wala.,2022-05-31T11:42:13Z,https://www.indiatoday.in/india/story/punjabi-singer-mankirt-aulakh-security-cover-sidhu-moose-wala-death-1956537-2022-05-31
41,PRRD kept his promise to make OFW lives better: Bello - pna.gov.ph,0,"MANILA – As the Duterte administration will soon be bidding goodbye, the Department of Labor and Employment (DOLE) is certain that the government has kept its promise to overseas Filipino workers (OFWs) to provide them with a better life.DOLE Secretary Silves…",2022-05-31T12:35:00Z,https://www.pna.gov.ph/articles/1175605
34,A whistlestop tour of myopia management - Association of Optometrists,0,Professor Ed Mallen outlined the case for slowing myopia progression and the effectiveness of management options at 100% Optical,2022-05-31T12:52:50Z,https://www.aop.org.uk/ot/science-and-vision/research/2022/05/31/a-whistlestop-tour-of-myopia-management
75,The Ferrari of Internet connections in South Africa pricing compared - MyBroadband,0,MyBroadband compared the prices of 1 Gbps home fibre packages across four South African open-access networks.,2022-05-31T11:05:42Z,https://mybroadband.co.za/news/broadband/445800-the-ferrari-of-internet-connections-in-south-africa-pricing-compared.html
13,Ukrainian troops hold out as Russia assaults Sievierodonetsk wasteland - Reuters,0,"Ukrainian forces were holding out in Sievierodonetsk on Tuesday, resisting Russia's all-out assault to capture a bombed-out wasteland that Moscow has made the principal objective of its invasion in recent days.",2022-05-31T13:45:00Z,https://www.reuters.com/world/europe/russian-forces-face-stiff-resistance-ukraines-donbas-2022-05-31/
15,"Leaked photos of Uyghurs interned at Xinjiang detention centres 'devastating,' says activist - CBC.ca",0,Uyghurs living outside of China say a recently published trove of documents and photos from inside the country's secretive mass incarceration system in Xinjiang have left them feeling 'helpless.',2022-05-31T13:44:40Z,https://www.cbc.ca/radio/day6/the-onion-s-powerful-satire-on-shootings-amber-heard-s-trial-by-tiktok-stranger-things-is-back-and-more-1.6468079/leaked-photos-of-uyghurs-interned-at-xinjiang-detention-centres-devastating-says-activist-1.6468085
63,"Wordle Answer 347: June 1, 2022 Word Solution - Game Revolution",2,Did you hear that noise?,2022-05-31T11:45:26Z,https://www.gamerevolution.com/guides/707646-wordle-answer-347-june-1-2022-word-solution-creak-hint-answer
9,"Disease experts call on WHO, governments for more action on monkeypox - ZAWYA",2,"While monkeypox is not as transmissible or dangerous as COVID, the scientists say, there needs to be clearer guidance on how a person infected with monkeypox should isolate",2022-05-31T14:01:37Z,https://www.zawya.com/en/life/health/disease-experts-call-on-who-governments-for-more-action-on-monkeypox-qffu1dgu
79,Massive 23andMe survey reveals who may be at the highest risk for long COVID - SFGATE,0,Who is more likely to develop long COVID-19? A new study offers clues.,2022-05-31T11:04:01Z,https://www.sfgate.com/bayarea/article/Study-reveals-long-COVID-risks-17200501.php
58,"Jeff Gladney, Arizona Cardinals defensive back, dies in a car crash at age 25 - CBS News",0,"""We are devastated to learn of Jeff Gladney's passing,"" the Cardinals said in a statement. ""Our hearts go out to his family, friends and all who are mourning this tremendous loss.""",2022-05-31T12:01:00Z,https://www.cbsnews.com/news/jeff-gladney-dies-age-25-car-crash-nfl-arizona-cardinals/
60,Duterte gov't gives PH media 'safe environment': PTFoMS exec - pna.gov.ph,0,"MANILA &ndash; The Duterte administration has created a ""safe environment"" for Philippine journalists, Presidential Task Force on Media Security (PTFoMS) executive director Undersecretary Joel Sy Egco said on Tuesday.During the second day of the Duterte Legac…",2022-05-31T11:56:54Z,https://www.pna.gov.ph/articles/1175607
45,Sidhu Moose Wala: a rapper of fascinating contradictions who aimed to uplift Punjab - The Guardian,0,"Killed in a shooting this week, the 28-year-old Punjabi Sikh MC offset gangster bravado with a keen sociopolitical awareness",2022-05-31T12:27:00Z,https://amp.theguardian.com/music/2022/may/31/sidhu-moose-wala-a-rapper-of-fascinating-contradictions-who-aimed-to-uplift-punjab
7,"Govt guidelines on monkeypox stress on surveillance, rapid identification, isolation - Economic Times",2,"The guidelines proposed a surveillance strategy to rapidly identify cases and clusters of infections and the sources of infections as soon as possible in order to isolate cases to prevent further transmission, provide optimal clinical care, identify and manag…",2022-05-31T14:03:00Z,https://economictimes.indiatimes.com/news/india/govt-guidelines-on-monkeypox-stress-on-surveillance-rapid-identification-isolation/articleshow/91922223.cms
36,Vinosiny's family to take legal action against UUM - Malaysiakini,0,Their lawyer says they will claim damages.,2022-05-31T12:52:23Z,https://www.malaysiakini.com/news/623112
96,Stock Market LIVE Updates: Sensex and Nifty50 likely to open lower today ahead of GDP data — track SGX futures - CNBCTV18,0,"Stock Market LIVE Updates: Indian equity benchmarks BSE Sensex and NSE Nifty50 started Tuesday's session in the red, retreating from nearly one-month highs, as Dalal Street tracked a lacklustre trend across Asia following a holiday on Wall Street. Financial a…",2022-05-31T10:28:57Z,https://www.cnbctv18.com/market/stocks/stock-market-news-live-updates-sgx-nifty50-bse-sensex-sun-pharma-irctc-lic-gdp-data-covid-brent-crude-bitcoin-gold-rate-13666092.htm
37,"Online fraud: How EFCC, INTERPOL bursted three Nigerian scammers in ‘Operation Killer Bee’ - Nairametrics",0,The Economic and Financial Crimes Commission (EFCC) has announced the arrest of three suspected Nigerian scammers. They were arrested in,2022-05-31T12:46:29Z,https://nairametrics.com/2022/05/31/online-fraud-how-efcc-interpol-bursted-three-nigerian-scammers-in-operation-killer-bee/
51,"Webb telescope to explore two rocky, Earths-like planets - Gadgets Now",0,"Nasa's much celebrated James Webb Space Telescope is just weeks away from full operation.The huge telescope plans to start it's in-depth science investigation by exploring strange, new rocky worlds in unprecedented detail.According to Nasa, it will study two …",2022-05-31T12:21:00Z,https://www.gadgetsnow.com/tech-news/webb-telescope-to-explore-two-rocky-earths-like-planets/articleshow/91919105.cms
8,Johnny Depp-Amber Heard Case: When Is The Verdict Expected? - NDTV,0,Johnny Depp and Amber Heard have sued each other and are seeking millions in damages. The jury is currently deliberating.,2022-05-31T14:01:52Z,https://www.ndtv.com/world-news/johnny-depp-amber-heard-case-when-is-the-verdict-expected-3026490
33,Kim Kardashian sparks break up rumours with Pete Davidson - Geo News,0,"Kim Kardashian said, “Bad News-Nothing lasts forever, Good News- Nothing lasts forever.”",2022-05-31T13:00:00Z,https://www.geo.tv/latest/420059-kim-kardashian-sparks-break-up-rumours-with-pete-davidson
31,Sonos Ray soundbar review: the cheaper compact TV audio upgrade - The Guardian,0,"Smaller all-in-one wifi speaker packs the best of Sonos for powerful movies, music and multiroom audio – at a lower price",2022-05-31T13:01:00Z,https://amp.theguardian.com/technology/2022/may/31/sonos-ray-soundbar-review-the-cheaper-compact-tv-audio-upgrade
73,Singer Sidhu Moose Wala's Father's Moving Gesture After Cremation - NDTV,0,"The inconsolable parents of Punjabi singer Sidhu Moose Wala showed exemplary courage as thousands of people paid their last respects to the couple's only child, who was murdered on Sunday.",2022-05-31T11:06:51Z,https://www.ndtv.com/india-news/singer-sidhu-moose-walas-fathers-tragic-gesture-after-cremation-3025705
4,In Situ TEM Shows Why Polymer Nanocapsules Deform - AZoNano,2,The analysis of buckling and collapse of nanocapsules employs real-time Transmission Electron Microscopy (TEM) in a recent study.,2022-05-31T14:13:00Z,https://www.azonano.com/news.aspx?newsID=39207
59,Johnny Depp surprises fans at concert while jury deliberates in defamation trial - CBS News,0,Jurors started deliberations​ Friday in Depp's high-profile defamation lawsuit against ex-wife Amber Heard.,2022-05-31T11:58:00Z,https://www.cbsnews.com/news/johnny-depp-jeff-beck-concert-amber-heard-trial-jury-deliberations/
0,"Stocks Fall, Oil Prices Gain as EU Commits to Partial Russian Crude Ban - The Wall Street Journal",0,"Dow, S&P 500 open lower on the last day of a volatile trading month",2022-05-31T14:32:00Z,https://www.wsj.com/articles/global-stocks-markets-dow-update-05-31-2022-11653982716
86,The suburbs where unit prices are decreasing amid Brisbane's housing crisis - 9News,0,"<p>As housing prices reach record highs in south-east <a href=""http://9news.com.au/queensland"" title=""Queensland"" target="""" rel="""">Queensland</a>, new data shows units in some Brisbane suburbs are actually getting cheaper. </p>",2022-05-31T10:52:37Z,https://www.9news.com.au/national/queensland-the-suburbs-where-unit-prices-are-decreasing-amid-brisbanes-housing-crisis/d3806afc-db83-471b-a9f4-cad85dd934a4
48,Biden to meet Fed chair as inflation bites pocketbooks - The Associated Press,0,WASHINGTON (AP) — President Joe Biden is set to meet with Federal Reserve Chairman Jerome Powell as soaring inflation takes a bite out of Americans' pocketbooks. The meeting Tuesday will be the first since Biden renominated Powell to lead the central bank and…,2022-05-31T12:23:23Z,https://apnews.com/article/biden-jerome-powell-government-and-politics-economy-2b9295779a17e425d0d8da6f0f82176e
98,Avon and Somerset only police force meeting 999 call-answering targets - BBC,0,Avon and Somerset Police is meeting the target to answer 90% of 999 calls in less than 10 seconds.,2022-05-31T10:26:30Z,https://www.bbc.co.uk/news/uk-england-bristol-61645151
